"FOAFGroup"|"foafGroupName"|"FOAFPerson"|"foafPersonName"|"foafPersonHomepage"|"foafPersonMember"|"BIBOJournal"|"BIBOJournalName"|"BIBOJournalISSN"|"BIBTEXArticle"|"BIBTEXArticleHasAuthor"|"BIBTEXArticleTitle"|"BIBTEXArticleHasJournal"|"BIBTEXArticleHasVolume"|"BIBTEXArticleHasNumber"|"BIBTEXArticleHasPages"|"BIBTEXArticleHasYear"|"DCContributor"
"FOAFGroup_DETUR_I"|"DETUR/I"|"FOAFPerson_1834607520455691"|"POLIANA FABÍULA CARDOZO"|"http://lattes.cnpq.br/1834607520455691"|"FOAFGroup_DETUR_I"|"Journal_2316-5952"|"Caderno de Estudos e Pesquisas do Turismo"|"2316-5952"|"BIBTEXArticle_&amp;#65279;TURISMO_DE_EXPERIÊNCIA:_UMA_POSSIBILIDADE_NOS_ATRATIVOS_TURÍSTICOS_DA_USINA_HIDRELÉTRICA_DE_ITAIPU_EM_FOZ_DO_IGUAÇU_?_PR2316-59522014"|"FARIAS, A. P., CARDOZO, Poliana;CARDOZO, POLIANA FABIULA"|"&amp;#65279;TURISMO DE EXPERIÊNCIA: UMA POSSIBILIDADE NOS ATRATIVOS TURÍSTICOS DA USINA HIDRELÉTRICA DE ITAIPU EM FOZ DO IGUAÇU ? PR"|"Journal_2316-5952"|"3"|"3"|"204-2015"|"2014"|"FOAFPerson_1834607520455691"
"FOAFGroup_DEFAR_G"|"DEFAR/G"|"FOAFPerson_8578241611510102"|"NAJEH MAISSAR KHALIL"|"http://lattes.cnpq.br/8578241611510102"|"FOAFGroup_DEFAR_G"|"Journal_1808-4532"|"Revista de Ciências Farmacêuticas Básica e Aplicada"|"1808-4532"|"BIBTEXArticle_&amp;#65532;NUTRITIONAL_STATUS_AND_FOOD_INTAKE_OF_BRAZILIAN_PATIENTS_IN_THE_&amp;#65532;DIFFERENT_STAGES_OF_ALZHEIMER_S_DISEASE:_A_CROSS_SECTIONAL_STUDY1808-45322014"|"GOES, V. F., HORS, J. A. E., ALMEIDA, J. C., SILVA, W. C. F. N., KHALIL, NAJEH MAISSAR, BONINI, J. S."|"&amp;#65532;NUTRITIONAL STATUS AND FOOD INTAKE OF BRAZILIAN PATIENTS IN THE &amp;#65532;DIFFERENT STAGES OF ALZHEIMER S DISEASE: A CROSS SECTIONAL STUDY"|"Journal_1808-4532"|"35"|""|"211-215"|"2014"|"FOAFPerson_8578241611510102"
"FOAFGroup_DEAGRO_G"|"DEAGRO/G"|"FOAFPerson_4913331884134387"|"LILIAN YUKARI YAMAMOTO"|"http://lattes.cnpq.br/4913331884134387"|"FOAFGroup_DEAGRO_G"|"Journal_0100-2945"|"Revista Brasileira de Fruticultura (Impresso)"|"0100-2945"|"BIBTEXArticle_&amp;apos;Black_star&amp;apos;:_uma_mutação_somática_natural_da_uva_fina_de_mesa_cv._Brasil0100-29452012"|"ROBERTO, S. R., Roberto, Sergio Ruffo, ASSIS, Adriane Marinho de, GENTA, Werner, YAMAMOTO, L. Y.;Yamamoto, Lilian Yukari;Yamamotoi, Lilian Yukari, SATO, Alessandro Jefferson"|"&amp;apos;Black star&amp;apos;: uma mutação somática natural da uva fina de mesa cv. Brasil"|"Journal_0100-2945"|"34"|"3"|"947-950"|"2012"|"FOAFPerson_4913331884134387"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_3501830648806376"|"JAYME AUGUSTO PERES"|"http://lattes.cnpq.br/3501830648806376"|"FOAFGroup_DEVET_G"|"Journal_2175-7925"|"Biotemas"|"2175-7925"|"BIBTEXArticle_&amp;lt;b&amp;gt;Biometria,_histologia_e_morfometria_do_sistema_digestÃ_rio_do_cachorro-do-mato_(Cerdocyon_thous)_de_vida_livre&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;DOI:10.5007/2175-7925.2011v24n4p1112175-79252011"|"HELENO, A. R., SANTOS, L. M., MIGLINO, M. A., PERES, J. A., GUERRA, R. R."|"&amp;lt;b&amp;gt;Biometria, histologia e morfometria do sistema digestÃ rio do cachorro-do-mato (Cerdocyon thous) de vida livre&amp;lt;/b&amp;gt;&amp;lt;br&amp;gt;DOI:10.5007/2175-7925.2011v24n4p111"|"Journal_2175-7925"|"24"|"4"|"111-119"|"2011"|"FOAFPerson_3501830648806376"
"FOAFGroup_DEPSI_I"|"DEPSI/I"|"FOAFPerson_0900580518880314"|"GUSTAVO ZAMBENEDETTI"|"http://lattes.cnpq.br/0900580518880314"|"FOAFGroup_DEPSI_I"|"Journal_1984-0292"|"Fractal: Revista de Psicologia"|"1984-0292"|"BIBTEXArticle_&amp;quot;A_via_que_facilita_é_a_mesma_que_dificulta&amp;quot;:_estigma_e_atenção_em_HIV-Aids_na_estratégia_saúde_da_família_-_ESF1984-02922013"|"ZAMBENEDETTI, GUSTAVO, BOTH, NALU SILVANA"|"&amp;quot;A via que facilita é a mesma que dificulta&amp;quot;: estigma e atenção em HIV-Aids na estratégia saúde da família - ESF"|"Journal_1984-0292"|"25"|"1"|"41-58"|"2013"|"FOAFPerson_0900580518880314"
"FOAFGroup_DEDUF_G"|"DEDUF/G"|"FOAFPerson_6567883239960466"|"MARCOS ROBERTO QUEIROGA"|"http://lattes.cnpq.br/6567883239960466"|"FOAFGroup_DEDUF_G"|"Journal_1807-8648"|"Acta Scientiarum. Health Sciences (Online)"|"1807-8648"|"BIBTEXArticle_&lt;b&gt;_Workplace_physical_exercises,_obesity_anthropometric_indexes,_blood_pressure_and_static_muscle_strength_&lt;/b&gt;1807-86482014"|"QUEIROGA, M.R., CABRAL LL, Da SILVA, C.G, FERREIRA, S.A, CAVAZZOTTO, T.G."|"&lt;b&gt; Workplace physical exercises, obesity anthropometric indexes, blood pressure and static muscle strength &lt;/b&gt;"|"Journal_1807-8648"|"36"|"1"|"65-"|"2014"|"FOAFPerson_6567883239960466"
"FOAFGroup_DEADM_G"|"DEADM/G"|"FOAFPerson_3425324573936051"|"AROLDO MESSIAS DE MELO JÚNIOR"|"http://lattes.cnpq.br/3425324573936051"|"FOAFGroup_DEADM_G"|"Journal_2178-5201"|"Acta Scientiarum. Education (Online)"|"2178-5201"|"BIBTEXArticle_&lt;b&gt;Despesas_com_manutenção_e_desenvolvimento_da_educação_superior_no_estado_do_Paraná:_um_estudo_comparativo_do_período_de2003_a2010&lt;/b&gt;2178-52012014"|"REIS, LUIZ FERNANDO, MELO JUNIOR, AROLDO MESSIAS DE"|"&lt;b&gt;Despesas com manutenção e desenvolvimento da educação superior no estado do Paraná: um estudo comparativo do período de2003 a2010&lt;/b&gt;"|"Journal_2178-5201"|"36"|"2"|"297-"|"2014"|"FOAFPerson_3425324573936051"
"FOAFGroup_DEGEO_G"|"DEGEO/G"|"FOAFPerson_4660243356517448"|"EDIVALDO LOPES THOMAZ"|"http://lattes.cnpq.br/4660243356517448"|"FOAFGroup_DEGEO_G"|"Journal_1807-8664"|"Acta Scientiarum. Technology (Online)"|"1807-8664"|"BIBTEXArticle_&lt;b&gt;Performance_assessment_of_a_microsprinkler&lt;b&gt;&lt;/b&gt;&lt;/b&gt;1807-86642014"|"THOMAZ, E. L., PEREIRA, A. A."|"&lt;b&gt;Performance assessment of a microsprinkler&lt;b&gt;&lt;/b&gt;&lt;/b&gt;"|"Journal_1807-8664"|"36"|"2"|"315-321"|"2014"|"FOAFPerson_4660243356517448"
"FOAFGroup_DEGEO_G"|"DEGEO/G"|"FOAFPerson_6294454738380009"|"ADALBERTO ALVES PEREIRA"|"http://lattes.cnpq.br/6294454738380009"|"FOAFGroup_DEGEO_G"|"Journal_1807-8664"|"Acta Scientiarum. Technology (Online)"|"1807-8664"|"BIBTEXArticle_&lt;b&gt;Performance_assessment_of_a_microsprinkler&lt;b&gt;&lt;/b&gt;&lt;/b&gt;1807-86642014"|"PEREIRA, A. A., THOMAZ, E. L."|"&lt;b&gt;Performance assessment of a microsprinkler&lt;b&gt;&lt;/b&gt;&lt;/b&gt;"|"Journal_1807-8664"|"36"|"2"|"315-"|"2014"|"FOAFPerson_6294454738380009"
"FOAFGroup_DEBIO_G"|"DEBIO/G"|"FOAFPerson_1289646338155108"|"ADRIANA KNOB"|"http://lattes.cnpq.br/1289646338155108"|"FOAFGroup_DEBIO_G"|"Journal_1679-9283"|"Acta Scientiarum. Biological Sciences (Impresso)"|"1679-9283"|"BIBTEXArticle_&lt;b&gt;Production_of_xylanases_by_an_&lt;i&gt;Aspergillus_niger&lt;/i&gt;_strain_in_wastes_grain&lt;/b&gt;1679-92832014"|"IZIDORO, S. C., KNOB, A."|"&lt;b&gt;Production of xylanases by an &lt;i&gt;Aspergillus niger&lt;/i&gt; strain in wastes grain&lt;/b&gt;"|"Journal_1679-9283"|"36"|"3"|"313-"|"2014"|"FOAFPerson_1289646338155108"
"FOAFGroup_DENAM_I"|"DENAM/I"|"FOAFPerson_1554298849674091"|"CARLOS MAGNO DE SOUSA VIDAL"|"http://lattes.cnpq.br/1554298849674091"|"FOAFGroup_DENAM_I"|"Journal_1806-2563"|"Acta Scientiarum. Technology (Impresso)"|"1806-2563"|"BIBTEXArticle_&lt;b&gt;Total_nitrogen_removal_in_membrane_sequencing_batch_bioreactor_treating_domestic_wastewater&lt;b&gt;1806-25632014"|"BELLI, TIAGO JOSÉ, CORAL, LUCILA ADRIANI, RECIO, MARIA ANGELES LOBO, VIDAL, CARLOS MAGNO DE SOUSA, LAPOLLI, FLÁVIO RUBENS"|"&lt;b&gt;Total nitrogen removal in membrane sequencing batch bioreactor treating domestic wastewater&lt;b&gt;"|"Journal_1806-2563"|"36"|"2"|"221-"|"2014"|"FOAFPerson_1554298849674091"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_6675057976344577"|"ADRIANO DE OLIVEIRA TORRES CARRASCO"|"http://lattes.cnpq.br/6675057976344577"|"FOAFGroup_DEVET_G"|"Journal_1042-7260"|"Journal of Zoo and Wildlife Medicine"|"1042-7260"|"BIBTEXArticle_&lt;i&gt;CHLAMYDOPHILA_PSITTACI&lt;/i&gt;_INFECTIONS_IN_HYACINTH_MACAWS_(_&lt;i&gt;ANODORHYNCHUS_HYACINTHINUS&lt;/i&gt;_)_CONFISCATED_IN_BRAZIL1042-72602013"|"RASO, Tânia de Freitas, TEIXEIRA, R. H. F., Carrasco, Adriano O.T., ARAUJO JUNIOR, J. P., PINTO, Aramis Augusto"|"&lt;i&gt;CHLAMYDOPHILA PSITTACI&lt;/i&gt; INFECTIONS IN HYACINTH MACAWS ( &lt;i&gt;ANODORHYNCHUS HYACINTHINUS&lt;/i&gt; ) CONFISCATED IN BRAZIL"|"Journal_1042-7260"|"44"|"1"|"169-172"|"2013"|"FOAFPerson_6675057976344577"
"FOAFGroup_DEBIO_G"|"DEBIO/G"|"FOAFPerson_1289646338155108"|"ADRIANA KNOB"|"http://lattes.cnpq.br/1289646338155108"|"FOAFGroup_DEBIO_G"|"Journal_1550-9087"|"Industrial Biotechnology (New Rochelle)"|"1550-9087"|"BIBTEXArticle_&lt;i&gt;Penicillium_miczynskii_&amp;#946;&lt;/i&gt;_-glucosidase:_A_Glucose-Tolerant_Enzyme_Produced_Using_Pineapple_Peel_as_Substrate1550-90872013"|"BEITEL, SUSAN M., KNOB, ADRIANA"|"&lt;i&gt;Penicillium miczynskii &amp;#946;&lt;/i&gt; -glucosidase: A Glucose-Tolerant Enzyme Produced Using Pineapple Peel as Substrate"|"Journal_1550-9087"|"9"|"5"|"293-300"|"2013"|"FOAFPerson_1289646338155108"
"FOAFGroup_DECS_G"|"DECS/G"|"FOAFPerson_5391433507648309"|"ARIANE CARLA PEREIRA"|"http://lattes.cnpq.br/5391433507648309"|"FOAFGroup_DECS_G"|"Journal_1518-9775"|"Revista de Estudos da Comunicação (Impresso)"|"1518-9775"|"BIBTEXArticle_&quot;A_poluição_da_pobreza&quot;:_a_cobertura_das_conferências_climáticas_-_Estocolmo,_1972;_Rio,_1992;_Kioto,_1997_e_Copenhague,_2009_-_por_Veja1518-97752011"|"PEREIRA, Ariane Carla;PEREIRA, ARIANE CARLA"|"&quot;A poluição da pobreza&quot;: a cobertura das conferências climáticas - Estocolmo, 1972; Rio, 1992; Kioto, 1997 e Copenhague, 2009 - por Veja"|"Journal_1518-9775"|"11"|"29"|"275-287"|"2011"|"FOAFPerson_5391433507648309"
"FOAFGroup_DENUT_G"|"DENUT/G"|"FOAFPerson_5156723098362562"|"INFORMAR NOME"|"http://lattes.cnpq.br/5156723098362562"|"FOAFGroup_DENUT_G"|"Journal_1519-8928"|"Nutrire (São Paulo)"|"1519-8928"|"BIBTEXArticle_&quot;Aleitamento_Materno_em_crianças_menores_de_um_ano_atendidas_em_Dia_Nacional_de_Campanha_de_Vacinação&quot;1519-89282007"|"Tsupa, Priscila Antunes, ALMEIDA, C.C.B."|"&quot;Aleitamento Materno em crianças menores de um ano atendidas em Dia Nacional de Campanha de Vacinação&quot;"|"Journal_1519-8928"|"v.32"|""|"p.318-"|"2007"|"FOAFPerson_5156723098362562"
"FOAFGroup_DEPED_G"|"DEPED/G"|"FOAFPerson_4042897428634580"|"SUZETE TEREZINHA ORZECHOWSKI"|"http://lattes.cnpq.br/4042897428634580"|"FOAFGroup_DEPED_G"|"Journal_1698-4404"|"Quaderns d`Animació i Educació Social"|"1698-4404"|"BIBTEXArticle_&quot;Contribuições_do_Trabalho_Pedagógico_junto_ao_Estatuto_da_Criança_e_do_Adolescente_-_uma_prática_sócio-cultural1698-44042007"|"ORZECHOWSKI, S. T."|"&quot;Contribuições do Trabalho Pedagógico junto ao Estatuto da Criança e do Adolescente - uma prática sócio-cultural"|"Journal_1698-4404"|"1"|"nº 6"|"14-"|"2007"|"FOAFPerson_4042897428634580"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_3805065197573254"|"LUIZ GONZAGA PEGO DE MACEDO"|"http://lattes.cnpq.br/3805065197573254"|"FOAFGroup_DEVET_G"|"Journal_1518-1243"|"Iniciação Científica - CESUMAR"|"1518-1243"|"BIBTEXArticle_&quot;Efeito_da_época_de_corte_e_tipo_de_adubo_na_análise_foliar_de_capim-limão&quot;.1518-12432007"|"ESPELHO, S. C., MAIA, E., RUZISKA, H. W., LENZI, E., MACEDO, L. G. P., DOLIVEIRA, P. S."|"&quot;Efeito da época de corte e tipo de adubo na análise foliar de capim-limão&quot;."|"Journal_1518-1243"|"09"|"02"|"119-123"|"2007"|"FOAFPerson_3805065197573254"
"FOAFGroup_DEHIS_G"|"DEHIS/G"|"FOAFPerson_9365139719374700"|"JÓ KLANOVICZ"|"http://lattes.cnpq.br/9365139719374700"|"FOAFGroup_DEHIS_G"|"Journal_1517-2856"|"História: Debates e Tendências (Passo Fundo)"|"1517-2856"|"BIBTEXArticle_&quot;Emerging_Johannesburg:_perspectives_on_the_post-Apartheid_city&quot;_(resenha)1517-28562007"|"KLANOVICZ, J.;KLANOVICZ, JÓ"|"&quot;Emerging Johannesburg: perspectives on the post-Apartheid city&quot; (resenha)"|"Journal_1517-2856"|"7"|"2"|"265-271"|"2007"|"FOAFPerson_9365139719374700"
"FOAFGroup_DENUT_G"|"DENUT/G"|"FOAFPerson_5156723098362562"|"INFORMAR NOME"|"http://lattes.cnpq.br/5156723098362562"|"FOAFGroup_DENUT_G"|"Journal_1980-2404"|"Revista Salus (UNICENTRO)"|"1980-2404"|"BIBTEXArticle_&quot;Introdução_à_alimentação_complementar_em_crianças_menores_de_seis_meses_atendidas_em_Dia_Nacional_de_Campanha_de_Vacinação&quot;1980-24042007"|"Tsupa, Priscila Antunes, NAKANO, A.M.S."|"&quot;Introdução à alimentação complementar em crianças menores de seis meses atendidas em Dia Nacional de Campanha de Vacinação&quot;"|"Journal_1980-2404"|"1"|"1"|"51-58"|"2007"|"FOAFPerson_5156723098362562"
"FOAFGroup_DECS_G"|"DECS/G"|"FOAFPerson_5391433507648309"|"ARIANE CARLA PEREIRA"|"http://lattes.cnpq.br/5391433507648309"|"FOAFGroup_DECS_G"|"Journal_0101-2657"|"Comunicação & Sociedade"|"0101-2657"|"BIBTEXArticle_&quot;Mãe_também_é_gente&quot;!_E_quem_foi_que_disse_que_não_era?_Estereótipos_sobre_a_mulher_na_revista_Pais&amp;Filhos0101-26572011"|"PEREIRA, Ariane Carla;PEREIRA, ARIANE CARLA"|"&quot;Mãe também é gente&quot;! E quem foi que disse que não era? Estereótipos sobre a mulher na revista Pais&amp;Filhos"|"Journal_0101-2657"|"33"|"56"|"219-239"|"2011"|"FOAFPerson_5391433507648309"
"FOAFGroup_DEPED_I"|"DEPED/I"|"FOAFPerson_3326773034222088"|"MICHELLE FERNANDES LIMA"|"http://lattes.cnpq.br/3326773034222088"|"FOAFGroup_DEPED_I"|"Journal_1982-9884"|"Estudos do Trabalho"|"1982-9884"|"BIBTEXArticle_&quot;Novas_tecnologias_e_os_limites_da_democratização_do_saber&quot;1982-98842009"|"LIMA, M. F.;LIMA, MICHELLE FERNANDES, FAVARO, A.G.L Neide, WIBHY, Alessandra"|"&quot;Novas tecnologias e os limites da democratização do saber&quot;"|"Journal_1982-9884"|"III"|"IV"|"01-19"|"2009"|"FOAFPerson_3326773034222088"
"FOAFGroup_DENUT_G"|"DENUT/G"|"FOAFPerson_5156723098362562"|"INFORMAR NOME"|"http://lattes.cnpq.br/5156723098362562"|"FOAFGroup_DENUT_G"|"Journal_1519-8928"|"Nutrire (São Paulo)"|"1519-8928"|"BIBTEXArticle_&quot;Práticas_Alimentares_de_filhos_de_mães_adolescentes_menores_de_seis_meses_de_idade&quot;1519-89282007"|"Tsupa, Priscila Antunes, ALMEIDA, C.C.B., FRANCESCHINI, P."|"&quot;Práticas Alimentares de filhos de mães adolescentes menores de seis meses de idade&quot;"|"Journal_1519-8928"|"v.32"|""|"p.318-"|"2007"|"FOAFPerson_5156723098362562"
"FOAFGroup_DEVET_G"|"DEVET/G"|"FOAFPerson_3805065197573254"|"LUIZ GONZAGA PEGO DE MACEDO"|"http://lattes.cnpq.br/3805065197573254"|"FOAFGroup_DEVET_G"|"Journal_1888-4865"|"Pequenos Rumiantes"|"1888-4865"|"BIBTEXArticle_&quot;Rendimientos_Productivos_Y_Costes_de_Producción_de_corderos_F1_Dorper_x_Santa_Inés_criados_en_diferentes_sistemas_en_Brasil&quot;.1888-48652010"|"MACEDO, L. G. P., MACEDO, F. A. F., RESCONI,V.C, OLIVEIRA, C.A.L, MACEDO, V. P., MACEDO,F.G"|"&quot;Rendimientos Productivos Y Costes de Producción de corderos F1 Dorper x Santa Inés criados en diferentes sistemas en Brasil&quot;."|"Journal_1888-4865"|"11"|"2"|"36-43"|"2010"|"FOAFPerson_3805065197573254"
"FOAFGroup_DEGEO_G"|"DEGEO/G"|"FOAFPerson_5643900933084303"|"MÁRCIA DA SILVA"|"http://lattes.cnpq.br/5643900933084303"|"FOAFGroup_DEGEO_G"|"Journal_1678-569X"|"Percurso (Curitiba)"|"1678-569X"|"BIBTEXArticle_&quot;Revelando&quot;_grupos_de_poder_político_nas_páginas_de_jornais_locais1678-569X2010"|"AUGUSTO, Daniel C., SILVA, Márcia da"|"&quot;Revelando&quot; grupos de poder político nas páginas de jornais locais"|"Journal_1678-569X"|"1"|""|"110-126"|"2010"|"FOAFPerson_5643900933084303"
"FOAFGroup_DELET_G"|"DELET/G"|"FOAFPerson_1934531868783088"|"NÍNCIA CECÍLIA RIBAS BORGES TEIXEIRA"|"http://lattes.cnpq.br/1934531868783088"|"FOAFGroup_DELET_G"|"Journal_1982-7830"|"Revista da ANPOLL (Online)"|"1982-7830"|"BIBTEXArticle_(RE)_LEITURAS_DA_AMÉRICA_LATINA_NO_NOVO_ROMANCE_HISTÓRICO_VIGÍLIA_DO_ALMIRANTE1982-78302012"|"LAvoratti, C., BORGES-TEIXEIRA"|"(RE) LEITURAS DA AMÉRICA LATINA NO NOVO ROMANCE HISTÓRICO VIGÍLIA DO ALMIRANTE"|"Journal_1982-7830"|"1"|"1"|"212-"|"2012"|"FOAFPerson_1934531868783088"
"FOAFGroup_DEGEO_G"|"DEGEO/G"|"FOAFPerson_8733013411095807"|"MARQUIANA DE FREITAS VILAS BOAS GOMES"|"http://lattes.cnpq.br/8733013411095807"|"FOAFGroup_DEGEO_G"|"Journal_2175-9405"|"Ambiência (Online)"|"2175-9405"|"BIBTEXArticle_(Re)leitura_de_autores_do_pensamento_geográfico:_ler_o_passado_para_(re)pensar_o_futuro_/_(Re)reading_of_authors_of_geographical_thought:_read_the_past_to_(re)_think_the_future2175-94052013"|"NASCIMENTO, DANNY JESSÉ FALKEMBACH, GOMES, MARQUIANA DE FREITAS VILAS BOAS"|"(Re)leitura de autores do pensamento geográfico: ler o passado para (re)pensar o futuro / (Re)reading of authors of geographical thought: read the past to (re) think the future"|"Journal_2175-9405"|"9"|"2"|"299-311"|"2013"|"FOAFPerson_8733013411095807"
"FOAFGroup_DEHIS_G"|"DEHIS/G"|"FOAFPerson_0693400078266201"|"BEATRIZ ANSELMO OLINTO"|"http://lattes.cnpq.br/0693400078266201"|"FOAFGroup_DEHIS_G"|"Journal_1984-9222"|"Revista Mundos do Trabalho"|"1984-9222"|"BIBTEXArticle_-Sem_ilustração-:_a_incapacidade_das_populações_rurais_na_profilaxia_rural_do_Paraná_(1916-1921)1984-92222012"|"OLINTO, B. A."|"-Sem ilustração-: a incapacidade das populações rurais na profilaxia rural do Paraná (1916-1921)"|"Journal_1984-9222"|"4"|"8"|"102-123"|"2012"|"FOAFPerson_0693400078266201"
"FOAFGroup_DEQ_G"|"DEQ/G"|"FOAFPerson_4551426002499357"|"NEIDE HIROKO TAKATA"|"http://lattes.cnpq.br/4551426002499357"|"FOAFGroup_DEQ_G"|"Journal_0103-989X"|"Revista Acadêmica: Ciências Agrárias e Ambientais (PUCPR. Impresso)"|"0103-989X"|"BIBTEXArticle_._Análise_de_água_pluvial_e_de_precipitação_em_campo_aberto_e_floresta0103-989X2009"|"Lewandowski, H, Schirmer, W. N, TAKATA, N. H., Pedroso, K"|". Análise de água pluvial e de precipitação em campo aberto e floresta"|"Journal_0103-989X"|"07"|""|"157-164"|"2009"|"FOAFPerson_4551426002499357"
"FOAFGroup_DEQ_G"|"DEQ/G"|"FOAFPerson_4551426002499357"|"NEIDE HIROKO TAKATA"|"http://lattes.cnpq.br/4551426002499357"|"FOAFGroup_DEQ_G"|"Journal_1808-0251"|"Ambiência (UNICENTRO)"|"1808-0251"|"BIBTEXArticle_._Determinação_do_índice_de_fluoreto_em_águas_de_abastecimento_público_dos_municípios_da_Região_Centro-Sul_do_Paraná1808-02512009"|"Moraes, J. E., QUINAIA, S. P., TAKATA, N. H., Fürstenberger, C. R."|". Determinação do índice de fluoreto em águas de abastecimento público dos municípios da Região Centro-Sul do Paraná"|"Journal_1808-0251"|"v.5"|""|"233-246"|"2009"|"FOAFPerson_4551426002499357"
"FOAFGroup_DEAGRO_G"|"DEAGRO/G"|"FOAFPerson_2942478614198351"|"JACKSON KAWAKAMI"|"http://lattes.cnpq.br/2942478614198351"|"FOAFGroup_DEAGRO_G"|"Journal_2236-7934"|"Cadernos de Agroecologia"|"2236-7934"|"BIBTEXArticle_15498_-_Programa_Paranaense_de_Certificação_de_Produtos_Orgânicos,_Núcleo_de_Guarapuava:_Relato_de_Experiências2236-79342014"|"FERREIRA, J., KOROBINSKI, T. C., NEIVERTH, V., MACIEL, O. V. B., HYCZY, R. C., KAWAKAMI, JACKSON"|"15498 - Programa Paranaense de Certificação de Produtos Orgânicos, Núcleo de Guarapuava: Relato de Experiências"|"Journal_2236-7934"|"9"|"1"|"1-5"|"2014"|"FOAFPerson_2942478614198351"
"FOAFGroup_DEAGRO_G"|"DEAGRO/G"|"FOAFPerson_2942478614198351"|"JACKSON KAWAKAMI"|"http://lattes.cnpq.br/2942478614198351"|"FOAFGroup_DEAGRO_G"|"Journal_2236-7934"|"Cadernos de Agroecologia"|"2236-7934"|"BIBTEXArticle_15636_-_Danos_de_Diabrotica_speciosa_Germar_(Coleoptera:_Chrysomelidae)_em_Cultivares_de_Batata_(Solanum_tuberosum_L.)_sob_Cultivo_Orgânico2236-79342014"|"SOARES, I., PASSOS, S., ANDERLE, T. C. Z., TOKARSKI, A., CARLI, M., VIRMOND, EDUARDO PRIGOL, KAWAKAMI, JACKSON, NARDI, C."|"15636 - Danos de Diabrotica speciosa Germar (Coleoptera: Chrysomelidae) em Cultivares de Batata (Solanum tuberosum L.) sob Cultivo Orgânico"|"Journal_2236-7934"|"9"|"1"|"1-5"|"2014"|"FOAFPerson_2942478614198351"
"FOAFGroup_DEHIS_I"|"DEHIS/I"|"FOAFPerson_2397406478051464"|"HÉLIO SOCHODOLAK"|"http://lattes.cnpq.br/2397406478051464"|"FOAFGroup_DEHIS_I"|"Journal_1980-6116"|"Revista Eletrônica Lato Sensu"|"1980-6116"|"BIBTEXArticle_1890_-_Colônia_Cecília,_uma_experiência_anarquista_no_Paraná1980-61162008"|"CARARO, I. L. F., SOCHODOLAK, Hélio."|"1890 - Colônia Cecília, uma experiência anarquista no Paraná"|"Journal_1980-6116"|"1"|""|"1-25"|"2008"|"FOAFPerson_2397406478051464"
"FOAFGroup_DEFAR_G"|"DEFAR/G"|"FOAFPerson_8599868758642737"|"EMERSON CARRARO"|"http://lattes.cnpq.br/8599868758642737"|"FOAFGroup_DEFAR_G"|"Journal_1980-2404"|"Revista Salus (UNICENTRO)"|"1980-2404"|"BIBTEXArticle_2009:_o_ano_da_reafirmação_da_multidisciplinaridade_da_saúde1980-24042009"|"Carraro, Emerson"|"2009: o ano da reafirmação da multidisciplinaridade da saúde"|"Journal_1980-2404"|"3"|"2"|"2-3"|"2009"|"FOAFPerson_8599868758642737"
"FOAFGroup_DEBIO_G"|"DEBIO/G"|"FOAFPerson_6147421642532490"|"KELLEN REGINA BOLDRINI"|"http://lattes.cnpq.br/6147421642532490"|"FOAFGroup_DEBIO_G"|"Journal_0014-2336"|"Euphytica (Wageningen)"|"0014-2336"|"BIBTEXArticle_2n_gamete_formation_in_the_genus_Brachiaria_(Poaceae:_Paniceae)0014-23362007"|"GALLO, Patricia H, MICHELETTI, Pamela P, BOLDRINI, K. R., PASCOTTO, Claudiceia Risso, PAGLIARINI, Maria Suely, VALLE, Cacilda Borges Do"|"2n gamete formation in the genus Brachiaria (Poaceae: Paniceae)"|"Journal_0014-2336"|"154"|""|"255-260"|"2007"|"FOAFPerson_6147421642532490"
"FOAFGroup_DEPED_G"|"DEPED/G"|"FOAFPerson_9637078058782125"|"SOLANGE APARECIDA DE OLIVEIRA COLLARES"|"http://lattes.cnpq.br/9637078058782125"|"FOAFGroup_DEPED_G"|"Journal_1806-1362"|"Revista Brasileira de Aprendizagem Aberta e a Distância"|"1806-1362"|"BIBTEXArticle_:_From_the_printed_material_to_the_digital_age_-_From_the_invention_of_spellbook_to_the_cyberspace1806-13622007"|"RUARO, L. M., COLLARES, S. A. O."|": From the printed material to the digital age - From the invention of spellbook to the cyberspace"|"Journal_1806-1362"|"6"|"2007"|"1-9"|"2007"|"FOAFPerson_9637078058782125"
