"FOAFGroup"|"foafGroupName"|"FOAFPerson"|"foafPersonName"|"foafPersonHomepage"|"foafPersonMember"|"BIBOJournal"|"BIBOJournalName"|"BIBOJournalISSN"|"BIBTEXArticle"|"BIBTEXArticleHasAuthor"|"BIBTEXArticleTitle"|"BIBTEXArticleHasJournal"|"BIBTEXArticleHasVolume"|"BIBTEXArticleHasNumber"|"BIBTEXArticleHasPages"|"BIBTEXArticleHasYear"|"DCContributor"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_8017182503178007"|"WAGNER MENNA PEREIRA"|"http://lattes.cnpq.br/8017182503178007"|"FOAFGroup_DEFISIO_G"|"Journal_1677-5937"|"Terapia Manual"|"1677-5937"|"BIBTEXArticle_Influência_aguda_da_mobilização_do_sistema_nervoso_autônomo_na_lombalgia1677-59372012"|"HALEX ANTONIO TUBIN, Felipe Toledo, VIDAL, V. N., Kerppers, I. I., Salgado, A. S., Ferreira, L. A, PEREIRA, W. M."|"Influência aguda da mobilização do sistema nervoso autônomo na lombalgia"|"Journal_1677-5937"|"49"|"10"|"148-154-"|"2012"|"FOAFPerson_8017182503178007"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_8017182503178007"|"WAGNER MENNA PEREIRA"|"http://lattes.cnpq.br/8017182503178007"|"FOAFGroup_DEFISIO_G"|"Journal_0103-5150"|"Fisioterapia em Movimento (PUCPR. Impresso)"|"0103-5150"|"BIBTEXArticle_Influência_da_Diatermia_por_Microondas_na_força_dos_músculos_flexores_do_cotovelo_e_na_atividade_eletromiográfica_do_músculo_bíceps_braquial0103-51502008"|"PEREIRA, W. M., Ferreira, L. A, Vieira, F. F., ROSSI, L. P."|"Influência da Diatermia por Microondas na força dos músculos flexores do cotovelo e na atividade eletromiográfica do músculo bíceps braquial"|"Journal_0103-5150"|"21"|"3"|"27-35"|"2008"|"FOAFPerson_8017182503178007"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_2468775531941125"|"LUIZ ALFREDO BRAUN FERREIRA"|"http://lattes.cnpq.br/2468775531941125"|"FOAFGroup_DEFISIO_G"|"Journal_1677-5937"|"Terapia Manual"|"1677-5937"|"BIBTEXArticle_Influência_da_Diatermia_por_Microondas_no_Pico_de_Força_Eletromiográfico_dos_Músculos_Flexores_do_Cotovelo1677-59372009"|"Pereira, W.M., PAULA JR., A. R., Braun Ferreira, Luiz Alfredo, Vieira, Fabricio Furtado, Thomé, M. R., Rossi, Luciano Pavan"|"Influência da Diatermia por Microondas no Pico de Força Eletromiográfico dos Músculos Flexores do Cotovelo"|"Journal_1677-5937"|"7"|"29"|"6-10"|"2009"|"FOAFPerson_2468775531941125"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_8017182503178007"|"WAGNER MENNA PEREIRA"|"http://lattes.cnpq.br/8017182503178007"|"FOAFGroup_DEFISIO_G"|"Journal_1677-5937"|"Terapia Manual"|"1677-5937"|"BIBTEXArticle_Influência_da_Diatermia_por_Microondas_no_pico_de_força_eletromiográfico_dos_músculos_flexores_do_cotovelo1677-59372009"|"PEREIRA, W. M., De Paula A. R., Ferreira, L. A, Vieira, F. F., Thomé, M. R., ROSSI, L. P."|"Influência da Diatermia por Microondas no pico de força eletromiográfico dos músculos flexores do cotovelo"|"Journal_1677-5937"|"7"|"29"|"6-10"|"2009"|"FOAFPerson_8017182503178007"
"FOAFGroup_DECIC_I"|"DECIC/I"|"FOAFPerson_9085562155938774"|"WILLSON GERIGK"|"http://lattes.cnpq.br/9085562155938774"|"FOAFGroup_DECIC_I"|"Journal_1982-7849"|"RAC. Revista de Administração Contemporânea (Online)"|"1982-7849"|"BIBTEXArticle_Influência_da_LRF_sobre_a_gestão_financeira:_espaço_de_manobra_dos_municípios_paranaenses_extremamente_pequenos1982-78492011"|"GERIGK, W., CLEMENTE, A."|"Influência da LRF sobre a gestão financeira: espaço de manobra dos municípios paranaenses extremamente pequenos"|"Journal_1982-7849"|"15"|"3"|"513-537"|"2011"|"FOAFPerson_9085562155938774"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_2107257822885032"|"IVO ILVAN KERPPERS"|"http://lattes.cnpq.br/2107257822885032"|"FOAFGroup_DEFISIO_G"|"Journal_1677-5937"|"Terapia Manual"|"1677-5937"|"BIBTEXArticle_Influência_da_Mobilização_do_Sistema_Nervoso_autônomo_Parassimpático_em_Indivíduos_com_Insonia1677-59372012"|"MOURA, A. S., PEREIRA, W. M., FURMANN, M., KERPPERS, I. I., BRAUN, L. A."|"Influência da Mobilização do Sistema Nervoso autônomo Parassimpático em Indivíduos com Insonia"|"Journal_1677-5937"|"10"|"50"|"148-153"|"2012"|"FOAFPerson_2107257822885032"
"FOAFGroup_DEFISIO_G"|"DEFISIO/G"|"FOAFPerson_8017182503178007"|"WAGNER MENNA PEREIRA"|"http://lattes.cnpq.br/8017182503178007"|"FOAFGroup_DEFISIO_G"|"Journal_1677-5937"|"Terapia Manual"|"1677-5937"|"BIBTEXArticle_Influência_da_Mobilização_do_Sistema_Nervoso_autônomo_Parassimpático_em_Indivíduos_com_Insonia1677-59372012"|"MOURA, A. S., PEREIRA, W. M., FURMANN, M., KERPPERS, I. I., KERPPERS, I. I., BRAUN, L. A."|"Influência da Mobilização do Sistema Nervoso autônomo Parassimpático em Indivíduos com Insonia"|"Journal_1677-5937"|"10"|"50"|"148-153"|"2012"|"FOAFPerson_8017182503178007"
"FOAFGroup_DEF_I"|"DEF/I"|"FOAFPerson_5240619272740210"|"ÉVERTON HILLIG"|"http://lattes.cnpq.br/5240619272740210"|"FOAFGroup_DEF_I"|"Journal_2175-9405"|"Ambiência (Online)"|"2175-9405"|"BIBTEXArticle_Influência_da_adição_de_serragem_nas_propriedades_tecnológicas_de_painéis_de_madeira_aglomerada_de_Pinus_taeda_/_Influence_of_sawdust_addition_in_the_technological_properties_of_Pinus_taeda_particleboards2175-94052013"|"TORRELL, Rebecca, HILLIG, Éverton, CORRADI, Giordano Marques, IWAKIRI, Setsuo"|"Influência da adição de serragem nas propriedades tecnológicas de painéis de madeira aglomerada de Pinus taeda / Influence of sawdust addition in the technological properties of Pinus taeda particleboards"|"Journal_2175-9405"|"9"|""|"57-72"|"2013"|"FOAFPerson_5240619272740210"
"FOAFGroup_DEAGRO_G"|"DEAGRO/G"|"FOAFPerson_2626109549950930"|"ITACIR ELOI SANDINI"|"http://lattes.cnpq.br/2626109549950930"|"FOAFGroup_DEAGRO_G"|"Journal_1984-7548"|"Pesquisa Aplicada & Agrotecnologia (Online)"|"1984-7548"|"BIBTEXArticle_Influência_da_adubação_nitrogenada_sobre_a_qualidade_da_silagem_de_milho1984-75482011"|"Basi, Simone, Marafon, Fabiano, Ueno, Robson Kyoshi, SANDINI, Itacir Eloi;Sandini, Itacir Eloi;SANDINI, I. E."|"Influência da adubação nitrogenada sobre a qualidade da silagem de milho"|"Journal_1984-7548"|"4"|"3"|"219-234"|"2011"|"FOAFPerson_2626109549950930"
"FOAFGroup_DEAGRO_G"|"DEAGRO/G"|"FOAFPerson_2367817004407775"|"LEANDRO RAMPIM"|"http://lattes.cnpq.br/2367817004407775"|"FOAFGroup_DEAGRO_G"|"Journal_0034-737X"|"Revista Ceres"|"0034-737X"|"BIBTEXArticle_Influência_da_densidade_do_solo_no_desenvolvimento_inicial_do_pinhão-manso_cultivado_em_Latossolo_Vermelho_eutroférrico0034-737X2014"|"OHLAND, TATIANE, Lana, Maria do Carmo, Frandoloso, Jucenei Fernando, Rampim, Leandro, BERGMANN, JAQUELINE REGINA, CABREIRA, DANIELLE TESCHE"|"Influência da densidade do solo no desenvolvimento inicial do pinhão-manso cultivado em Latossolo Vermelho eutroférrico"|"Journal_0034-737X"|"61"|"5"|"622-630"|"2014"|"FOAFPerson_2367817004407775"
